,Episode,Mean,Stddev
754,754,36.5,0
755,755,36.3,0.24495
756,756,36.1,0.2
757,757,36.5,0
758,758,36.4,0.2
759,759,36.5,0
760,760,36.4,0.2
761,761,36.4,0.2
762,762,16.05327,41.14392
763,763,36.7,0.24495
764,764,36.7,0.24495
765,765,36.7,0.24495
766,766,36.7,0.24495
767,767,25.42637,22.64837
768,768,36.8,0.24495
769,769,36.5,0
770,770,36.5,0
771,771,36.6,0.2
772,772,36.5,0.31623
773,773,36.3,0.24495
774,774,36.5,0
775,775,36.5,0.31623
776,776,23.13752,26.72682
777,777,36.5,0.31623
778,778,36.6,0.2
779,779,36.5,0
780,780,23.89389,25.46295
781,781,36.9,0.2
782,782,37,0
783,783,36.8,0.24495
784,784,36.8,0.24495
785,785,36.9,0.2
786,786,36.8,0.24495
787,787,36.7,0.4
788,788,36.5,0.31623
789,789,36.5,0
790,790,36.5,0
791,791,36.5,0
792,792,36.5,0
793,793,36.5,0
794,794,36,0.54772
795,795,36.1,0.37417
796,796,23.67823,25.39428
797,797,36.4,0.2
798,798,36.2,0.24495
799,799,36.3,0.24495
800,800,36.5,0
801,801,35.6,0.5831
802,802,36,0
803,803,36.3,0.24495
804,804,36.2,0.24495
805,805,36.2,0.24495
806,806,36.3,0.24495
807,807,36.1,0.2
808,808,36.1,0.2
809,809,36.3,0.24495
810,810,36.1,0.2
811,811,17.78645,36.67897
812,812,36.5,0
813,813,36,0.31623
814,814,35.9,0.2
815,815,35.9,0.2
816,816,35.8,0.24495
817,817,36.1,0.37417
818,818,36,0
819,819,36.1,0.2
820,820,36.5,0
821,821,36.1,0.2
822,822,35.9,0.2
823,823,36.1,0.2
824,824,36.1,0.2
825,825,36.1,0.2
826,826,36.3,0.24495
827,827,25.32437,21.60213
828,828,35.8,0.67823
829,829,36.2,0.24495
830,830,36.1,0.2
831,831,22.39855,27.2029
832,832,36.1,0.2
833,833,36.2,0.24495
834,834,36.2,0.24495
835,835,36.2,0.24495
836,836,36,0.31623
837,837,36,0
838,838,35.9,0.2
839,839,35.8,0.4
840,840,35.9,0.5831
841,841,6.16689,59.91654
842,842,35.9,0.4899
843,843,36.5,0
844,844,25.563,21.874
845,845,36.5,0
846,846,36.5,0
847,847,36.5,0
848,848,36.5,0
849,849,36.5,0
850,850,5.93519,61.12962
851,851,36.5,0
852,852,36.5,0
853,853,17.22039,38.05988
854,854,36.2,0.4
855,855,36.3,0.24495
856,856,35.9,0.2
857,857,17.67664,37.1474
858,858,36.5,0
859,859,36,0
860,860,36.3,0.24495
861,861,36.4,0.2
862,862,36.5,0
863,863,23.17757,26.64486
864,864,36.3,0.24495
865,865,36.5,0
866,866,16.76162,39.47675
867,867,36.5,0
868,868,36.5,0
869,869,36.5,0
870,870,36.5,0
871,871,36.5,0
872,872,36.5,0
873,873,36.5,0
874,874,36.5,0
875,875,18.0625,36.87501
876,876,13.39212,46.21576
877,877,36.8,0.24495
878,878,36.9,0.2
879,879,6.40313,37.9657
880,880,36.9,0.2
881,881,36.9,0.2
882,882,23.54972,26.65127
883,883,36.8,0.24495
884,884,36.9,0.2
885,885,37,0
886,886,36.9,0.2
887,887,37,0
888,888,36.9,0.2
889,889,36.9,0.2
890,890,36.7,0.24495
891,891,37,0
892,892,37,0
893,893,36.8,0.24495
894,894,36.4,0.37417
895,895,36.9,0.2
896,896,37,0
897,897,37,0
898,898,36.9,0.2
899,899,37,0
900,900,23.3039,27.1429
901,901,37,0
902,902,19.10126,35.548
903,903,37,0
904,904,37,0
905,905,19.62138,34.75725
906,906,36.8,0.24495
907,907,4.00132,40.78281
908,908,37,0
909,909,36.9,0.2
910,910,36.9,0.2
911,911,36.8,0.24495
912,912,36.6,0.2
913,913,36.5,0
914,914,36.5,0
915,915,36.5,0
916,916,36.5,0
917,917,36.5,0
918,918,36.5,0
919,919,36.5,0
920,920,36.5,0
921,921,36.5,0
922,922,36.5,0
923,923,36.5,0
924,924,36.5,0
925,925,36.5,0
926,926,36.5,0
927,927,36.5,0
928,928,36.5,0
929,929,36.5,0
930,930,36.5,0
931,931,36.5,0
932,932,36.5,0
933,933,36.5,0
934,934,36.5,0
935,935,36.5,0
936,936,36.5,0
937,937,22.9885,27.02299
938,938,36.5,0
939,939,36.5,0
940,940,36.5,0
941,941,36.5,0
942,942,36.5,0
943,943,36.5,0
944,944,36.5,0
945,945,36.5,0
946,946,36.5,0
947,947,36.5,0
948,948,36.5,0
949,949,24.82897,23.34207
950,950,36.5,0
951,951,36.5,0
952,952,36.5,0
953,953,17.55368,37.89263
954,954,36.5,0
955,955,36.5,0
956,956,36.5,0
957,957,36.5,0
958,958,36.5,0
959,959,36.5,0
960,960,36.5,0
961,961,36.5,0
962,962,36.5,0
963,963,36.5,0
964,964,36.5,0
965,965,36.5,0
966,966,36.5,0
967,967,36.5,0
968,968,36.5,0
969,969,36.5,0
970,970,36.5,0
971,971,24.75974,23.48052
972,972,36.5,0
973,973,36.5,0
974,974,36.5,0
975,975,36.5,0
976,976,36.5,0
977,977,36.5,0
978,978,36.5,0
979,979,36.5,0
980,980,13.74544,45.50913
981,981,36.5,0
982,982,36.5,0
983,983,36.5,0
984,984,14.72505,43.54991
985,985,36.5,0
986,986,26.80405,19.3919
987,987,36.5,0
988,988,26.80381,19.39237
989,989,36.5,0
990,990,36.5,0
991,991,22.29038,28.41923
992,992,36.5,0
993,993,36.5,0
994,994,36.5,0
995,995,36.5,0
996,996,26.29164,20.41673
997,997,36.5,0
998,998,36.5,0
999,999,36.5,0
1000,1000,36.5,0
1001,1001,36.5,0
1002,1002,36.5,0
1003,1003,36.5,0
1004,1004,36.5,0
1005,1005,36.5,0
1006,1006,36.5,0
1007,1007,36.5,0
1008,1008,36.5,0
1009,1009,36.5,0
1010,1010,36.5,0
1011,1011,36.5,0
1012,1012,36.5,0
1013,1013,36.5,0
1014,1014,26.86018,19.27964
1015,1015,36.5,0
1016,1016,36.5,0
1017,1017,36.5,0
1018,1018,36.5,0
1019,1019,36.5,0
1020,1020,36.5,0
1021,1021,36.5,0
1022,1022,36.5,0
1023,1023,36.5,0
1024,1024,36.5,0
1025,1025,36.5,0
1026,1026,6.92364,24.16747
1027,1027,36.5,0
1028,1028,17.11753,23.73968
1029,1029,36.5,0
1030,1030,36.5,0
1031,1031,26.74421,19.51157
1032,1032,36.5,0
1033,1033,36.5,0
1034,1034,36.5,0
1035,1035,36.5,0
1036,1036,36.5,0
1037,1037,26.84903,19.30194
1038,1038,26.89354,19.21293
1039,1039,36.4,0.2
1040,1040,36.5,0
1041,1041,36.5,0
1042,1042,36.5,0
1043,1043,36.5,0
1044,1044,36.4,0.2
1045,1045,36.5,0
1046,1046,36.5,0
1047,1047,36.5,0
1048,1048,36.5,0
1049,1049,36.5,0
1050,1050,36.5,0
1051,1051,36.5,0
1052,1052,36.5,0
1053,1053,36.5,0
1054,1054,36.5,0
1055,1055,36.5,0
1056,1056,36.5,0
1057,1057,36.5,0
1058,1058,36.5,0
1059,1059,36.5,0
1060,1060,36.5,0
1061,1061,36.5,0
1062,1062,36.5,0
1063,1063,36.5,0
1064,1064,26.95992,19.08017
1065,1065,36.5,0
1066,1066,36.5,0
1067,1067,36.5,0
1068,1068,36.5,0
1069,1069,36.5,0
